Season,Team,Games,Net_Rating,EFG,BH,OREB,FT_Rate,Opp_EFG,Opp_BH,Opp_OREB,Opp_FT_Rate
2018-19,BOS,91,3.710289,0.531157,0.883342,0.209785,0.180317,0.512037,0.868798,0.224201,0.200767
2018-19,CHA,82,-1.27324,0.515395,0.891376,0.216927,0.207831,0.53901,0.878805,0.225716,0.179967
2018-19,CHI,82,-8.302559,0.505999,0.872831,0.192852,0.1869,0.541496,0.881593,0.224844,0.190314
2018-19,CLE,82,-10.058751,0.503959,0.87776,0.234763,0.189264,0.565723,0.885519,0.229738,0.182957
2018-19,DAL,82,-1.389054,0.519875,0.873426,0.226666,0.220006,0.522624,0.883891,0.222622,0.192913
2018-19,DEN,96,3.808645,0.523848,0.885575,0.265249,0.18311,0.518237,0.882056,0.223863,0.1994
2018-19,DET,86,-1.44431,0.506783,0.878386,0.244891,0.194131,0.530274,0.87154,0.212004,0.216489
2018-19,GSW,104,5.712211,0.561519,0.872256,0.22908,0.194324,0.511653,0.880308,0.226448,0.216276
2018-19,HOU,93,4.501636,0.542409,0.87723,0.2264,0.224238,0.522253,0.866395,0.25281,0.214161
2018-19,IND,86,2.874617,0.527695,0.876044,0.214686,0.184145,0.517243,0.858468,0.232815,0.186944
2018-19,LAC,88,0.360506,0.52825,0.873116,0.219104,0.26231,0.519082,0.885782,0.239483,0.227873
2018-19,LAL,82,-1.54994,0.52792,0.865554,0.220765,0.181505,0.516071,0.878283,0.235119,0.193739
2018-19,MEM,82,-2.449414,0.509147,0.870775,0.197605,0.21216,0.522419,0.86052,0.221828,0.236264
2018-19,MIA,82,-0.272292,0.516433,0.869017,0.247063,0.173212,0.511494,0.872412,0.221747,0.20401
2018-19,MIL,97,8.533517,0.546808,0.880499,0.206809,0.203448,0.50016,0.886035,0.190589,0.17088
2018-19,MIN,82,-1.606403,0.512691,0.885955,0.245093,0.21228,0.53866,0.871375,0.248727,0.191268
2018-19,NOP,82,-1.27584,0.530536,0.873765,0.241054,0.196384,0.532918,0.883864,0.230578,0.194978
2018-19,NYK,82,-8.898529,0.490615,0.87557,0.221528,0.206975,0.534004,0.88377,0.236709,0.206411
2018-19,OKC,87,2.873716,0.514537,0.881485,0.255206,0.193761,0.523386,0.856742,0.217837,0.208477
2018-19,ORL,87,-0.335532,0.514519,0.879496,0.217382,0.172454,0.519259,0.881963,0.198738,0.186719
2018-19,PHI,94,2.63449,0.53031,0.868695,0.245692,0.245845,0.510345,0.888783,0.21199,0.213267
2018-19,PHX,82,-8.949942,0.515183,0.861431,0.201932,0.203903,0.545801,0.865003,0.272182,0.238707
2018-19,POR,98,3.398708,0.525963,0.880388,0.26064,0.211478,0.516248,0.889316,0.225303,0.203977
2018-19,SAC,82,-1.155347,0.525214,0.885461,0.231329,0.179358,0.533497,0.864095,0.244126,0.208703
2018-19,SAS,89,1.344692,0.533187,0.891869,0.210156,0.197317,0.527295,0.891611,0.207087,0.172278
2018-19,TOR,106,5.716273,0.539601,0.878347,0.209008,0.206825,0.505347,0.867361,0.225687,0.202961
2018-19,UTA,87,4.204631,0.534052,0.865839,0.227717,0.218767,0.509101,0.875396,0.19629,0.193268
2018-19,WAS,82,-2.685338,0.531472,0.877344,0.209325,0.206613,0.547567,0.864783,0.256566,0.199937
2019-20,ATL,67,-7.367758,0.516845,0.861287,0.214686,0.20542,0.544284,0.872515,0.250849,0.236388
2019-20,BKN,76,-1.515818,0.519175,0.869238,0.229383,0.202469,0.516215,0.889872,0.220629,0.189179
2019-20,BOS,89,6.167957,0.531427,0.877089,0.230643,0.214103,0.506116,0.869139,0.215999,0.220769
2019-20,CHA,65,-6.850537,0.505742,0.867428,0.239699,0.190407,0.547437,0.869108,0.255471,0.160645
2019-20,CHI,65,-3.160722,0.517118,0.863503,0.227025,0.177239,0.548101,0.837231,0.242797,0.242378
2019-20,CLE,65,-7.948703,0.523493,0.854108,0.246446,0.173781,0.561182,0.882832,0.223195,0.165384
2019-20,DAL,81,3.702903,0.54582,0.888281,0.225324,0.208424,0.530098,0.893959,0.220029,0.181672
2019-20,DEN,92,1.234748,0.538598,0.874985,0.242997,0.191819,0.53794,0.871726,0.230396,0.206719
2019-20,DET,66,-3.563013,0.529648,0.862145,0.225795,0.196534,0.543649,0.873553,0.239121,0.187695
2019-20,GSW,65,-8.66332,0.498237,0.86825,0.211923,0.214169,0.554918,0.862465,0.23073,0.1956
2019-20,HOU,84,2.439838,0.538159,0.874325,0.200973,0.224614,0.531737,0.860715,0.240364,0.20071
2019-20,IND,77,1.491075,0.535313,0.878872,0.194729,0.173456,0.514014,0.869935,0.231208,0.199776
2019-20,LAC,85,6.038319,0.537759,0.875046,0.229624,0.235337,0.512873,0.877026,0.217426,0.208982
2019-20,LAL,87,6.031133,0.546187,0.8658,0.24598,0.209836,0.5168,0.860114,0.205335,0.21544
2019-20,MEM,74,-0.937792,0.530654,0.868101,0.229421,0.184681,0.522944,0.873037,0.220728,0.222044
2019-20,MIA,89,2.776541,0.546764,0.86754,0.19985,0.242735,0.523604,0.87375,0.204292,0.217852
2019-20,MIL,83,8.501106,0.551327,0.870527,0.204667,0.203488,0.49463,0.877979,0.180255,0.187615
2019-20,MIN,64,-3.936494,0.514707,0.870331,0.220514,0.210154,0.542631,0.867783,0.227357,0.221108
2019-20,NOP,72,-1.289146,0.540931,0.861476,0.239609,0.188953,0.533095,0.876332,0.219509,0.213635
2019-20,NYK,66,-6.354932,0.501073,0.874647,0.258483,0.184044,0.541616,0.876247,0.215859,0.227182
2019-20,OKC,79,1.318121,0.529453,0.873305,0.192591,0.232301,0.520352,0.874769,0.224423,0.1731
2019-20,ORL,78,-1.938348,0.506979,0.883918,0.21771,0.19988,0.537913,0.866997,0.204604,0.178247
2019-20,PHI,77,1.461214,0.529549,0.87433,0.23984,0.201922,0.525242,0.876773,0.197154,0.217594
2019-20,PHX,73,0.392053,0.533412,0.869735,0.221864,0.22764,0.539273,0.863223,0.211366,0.223353
2019-20,POR,80,-1.69747,0.532325,0.885918,0.221851,0.200068,0.533477,0.886756,0.247629,0.211603
2019-20,SAC,72,-1.780818,0.537149,0.87012,0.216924,0.179209,0.544368,0.863483,0.212146,0.226752
2019-20,SAS,71,-1.004165,0.53274,0.88812,0.198283,0.213793,0.543324,0.883662,0.208909,0.195091
2019-20,TOR,83,5.763189,0.53549,0.87045,0.205896,0.209299,0.503637,0.855436,0.223758,0.205977
2019-20,UTA,79,2.715833,0.553279,0.864795,0.214712,0.212794,0.521896,0.888484,0.212441,0.18549
2019-20,WAS,72,-4.395494,0.524831,0.877636,0.218487,0.216888,0.558871,0.860753,0.243898,0.234046
2020-21,ATL,90,1.447849,0.53628,0.881521,0.234047,0.221044,0.528336,0.887619,0.225636,0.193545
2020-21,BKN,84,4.557071,0.573183,0.879994,0.209957,0.210367,0.528066,0.888251,0.227558,0.189156
2020-21,BOS,78,0.521155,0.54065,0.875921,0.245331,0.189817,0.541688,0.873872,0.220882,0.222205
2020-21,CHA,73,-2.315052,0.533525,0.867467,0.23244,0.182272,0.553339,0.867906,0.241536,0.163538
2020-21,CHI,72,-1.117878,0.548303,0.864513,0.219975,0.156309,0.539231,0.884925,0.194693,0.198478
2020-21,CLE,72,-8.449543,0.5092,0.86084,0.236642,0.195619,0.556768,0.869787,0.232907,0.184283
2020-21,DAL,79,1.672278,0.54851,0.889632,0.211192,0.188263,0.537596,0.885792,0.223217,0.203991
2020-21,DEN,82,3.565144,0.556137,0.881524,0.244457,0.176647,0.550433,0.873885,0.209015,0.205598
2020-21,DET,72,-4.601809,0.520136,0.865634,0.218125,0.210603,0.542772,0.874286,0.22963,0.196745
2020-21,GSW,74,0.999358,0.551123,0.865336,0.179395,0.189193,0.521267,0.870133,0.233514,0.223784
2020-21,HOU,72,-7.35003,0.521869,0.870068,0.197494,0.18936,0.555416,0.871217,0.227375,0.201978
2020-21,IND,74,0.087388,0.543655,0.880761,0.202871,0.180386,0.533814,0.872752,0.244259,0.204435
2020-21,LAC,91,5.734436,0.565004,0.882095,0.2233,0.199189,0.534908,0.883091,0.21155,0.185655
2020-21,LAL,84,2.09054,0.531463,0.865017,0.230076,0.203735,0.529268,0.863709,0.199312,0.193888
2020-21,MEM,79,0.621056,0.526868,0.885792,0.240626,0.180457,0.537212,0.869902,0.218946,0.201047
2020-21,MIA,81,-1.207436,0.54165,0.869563,0.190176,0.205719,0.54301,0.862594,0.228698,0.184201
2020-21,MIL,95,5.568181,0.556492,0.881659,0.241761,0.174736,0.533761,0.883363,0.197442,0.160428
2020-21,MIN,72,-5.166096,0.521156,0.876218,0.224957,0.195503,0.556151,0.866852,0.229805,0.209969
2020-21,NOP,72,-0.359314,0.538716,0.873162,0.261218,0.215163,0.551358,0.880885,0.200345,0.187744
2020-21,NYK,77,1.729705,0.520619,0.881528,0.219473,0.191763,0.510527,0.88378,0.207887,0.197083
2020-21,OKC,72,-10.514682,0.510378,0.858012,0.209725,0.178146,0.548472,0.88482,0.218162,0.168809
2020-21,ORL,72,-9.301073,0.490553,0.884907,0.21595,0.188987,0.547774,0.885402,0.2168,0.169841
2020-21,PHI,84,5.903102,0.544783,0.873787,0.228386,0.230565,0.520157,0.86509,0.215682,0.207838
2020-21,PHX,94,5.449596,0.561118,0.885615,0.202601,0.183158,0.528486,0.879644,0.218556,0.195645
2020-21,POR,78,1.548516,0.54324,0.899843,0.227353,0.199662,0.547386,0.889218,0.227329,0.205861
2020-21,SAC,72,-3.715382,0.551073,0.880141,0.209958,0.186676,0.558148,0.878874,0.249928,0.201373
2020-21,SAS,73,-1.486921,0.516048,0.898003,0.200207,0.193634,0.540262,0.882733,0.225104,0.175173
2020-21,TOR,72,-0.387231,0.53103,0.881002,0.206161,0.197301,0.544807,0.855577,0.2355,0.236641
2020-21,UTA,83,7.658357,0.566418,0.873322,0.240964,0.202195,0.515529,0.897743,0.208588,0.167621
2020-21,WAS,79,-2.369035,0.529281,0.87686,0.213776,0.22362,0.539855,0.877106,0.222405,0.219793
2021-22,ATL,89,1.199765,0.54332,0.889186,0.227718,0.208383,0.543377,0.883899,0.225671,0.180464
2021-22,BKN,87,0.713316,0.544183,0.873442,0.237827,0.202936,0.524196,0.882517,0.249061,0.204929
2021-22,BOS,106,6.755423,0.540837,0.873187,0.234557,0.203852,0.502938,0.875605,0.226086,0.185576
2021-22,CHA,83,0.235841,0.545333,0.883811,0.231026,0.174933,0.546591,0.869697,0.248876,0.1891
2021-22,CHI,87,-1.399122,0.536767,0.882689,0.198899,0.198882,0.542795,0.880375,0.212874,0.199884
2021-22,CLE,84,1.769581,0.537791,0.867407,0.237366,0.199528,0.520967,0.877206,0.234788,0.176244
2021-22,DAL,100,3.037596,0.540577,0.886148,0.20432,0.200082,0.525353,0.877292,0.223473,0.192384
2021-22,DEN,87,1.65208,0.556738,0.86755,0.22178,0.198364,0.542442,0.882946,0.212038,0.191485
2021-22,DET,82,-7.558515,0.49506,0.874104,0.231208,0.197612,0.541869,0.869173,0.240795,0.229532
2021-22,GSW,104,5.380583,0.554885,0.865704,0.227942,0.181076,0.512144,0.870474,0.212404,0.20411
2021-22,HOU,82,-8.250922,0.534884,0.855205,0.216258,0.205449,0.554954,0.876783,0.256689,0.208581
2021-22,IND,82,-3.561569,0.531833,0.872685,0.254362,0.185244,0.55242,0.880744,0.237582,0.206354
2021-22,LAC,84,-0.222226,0.531246,0.87526,0.203802,0.181943,0.51531,0.880272,0.256226,0.171329
2021-22,LAL,82,-2.844705,0.536915,0.871798,0.210912,0.191033,0.540882,0.877787,0.238688,0.194174
2021-22,MEM,94,4.900061,0.521402,0.886901,0.29413,0.186933,0.52467,0.864091,0.221343,0.199239
2021-22,MIA,100,4.377521,0.541727,0.868632,0.231799,0.207359,0.524786,0.860436,0.216521,0.219601
2021-22,MIL,94,2.803943,0.540827,0.880358,0.226497,0.197424,0.532584,0.883465,0.205563,0.166823
2021-22,MIN,89,2.120882,0.53848,0.874012,0.237159,0.206157,0.535076,0.858086,0.248234,0.232537
2021-22,NOP,90,-0.673234,0.519697,0.874896,0.271084,0.214053,0.548869,0.872906,0.212836,0.197999
2021-22,NYK,82,-0.417376,0.513713,0.879761,0.249003,0.210342,0.523105,0.882885,0.210031,0.201536
2021-22,OKC,82,-7.984126,0.498292,0.875361,0.21751,0.170266,0.53391,0.882315,0.236433,0.171481
2021-22,ORL,82,-8.080531,0.503046,0.869892,0.197158,0.177097,0.533333,0.882671,0.225286,0.198097
2021-22,PHI,94,2.518125,0.53765,0.880136,0.198318,0.237321,0.523207,0.880132,0.230181,0.195931
2021-22,PHX,95,6.407826,0.551348,0.882747,0.222188,0.181539,0.515002,0.871027,0.232834,0.203226
2021-22,POR,82,-9.100557,0.51639,0.869615,0.227123,0.190755,0.560227,0.873641,0.230426,0.223967
2021-22,SAC,82,-5.331815,0.525913,0.87434,0.210691,0.205314,0.55255,0.880494,0.237897,0.177626
2021-22,SAS,83,0.079185,0.527426,0.889629,0.234448,0.168191,0.534031,0.879308,0.246967,0.177658
2021-22,TOR,88,1.316163,0.51069,0.891193,0.277871,0.179976,0.538932,0.856336,0.241716,0.207066
2021-22,UTA,88,5.28824,0.552234,0.874681,0.249516,0.213313,0.523609,0.892282,0.210737,0.168771
2021-22,WAS,82,-3.493243,0.533255,0.879111,0.2074,0.198652,0.530447,0.892943,0.228647,0.205529
2022-23,ATL,89,-0.156989,0.542097,0.887985,0.250266,0.198191,0.555808,0.877498,0.233182,0.203969
2022-23,BKN,86,1.560615,0.561739,0.873717,0.190377,0.206675,0.530293,0.878287,0.262593,0.211356
2022-23,BOS,102,6.710791,0.565435,0.881024,0.220558,0.198306,0.528485,0.887094,0.214667,0.183397
2022-23,CHA,82,-5.945566,0.51784,0.875988,0.23489,0.196007,0.545887,0.875521,0.243619,0.213748
2022-23,CHI,84,2.233869,0.550733,0.878402,0.197936,0.203019,0.543884,0.865364,0.220461,0.199722
2022-23,CLE,87,5.488349,0.555408,0.87501,0.23394,0.205447,0.533396,0.856441,0.241163,0.212832
2022-23,DAL,82,0.334841,0.566814,0.88639,0.180068,0.228706,0.551111,0.880281,0.240784,0.22916
2022-23,DEN,102,4.324605,0.57073,0.873594,0.244828,0.198274,0.538965,0.882205,0.226298,0.203215
2022-23,DET,82,-8.241019,0.520522,0.866961,0.246381,0.228838,0.558503,0.880553,0.258608,0.233387
2022-23,GSW,95,1.715918,0.566025,0.860714,0.245094,0.177273,0.537977,0.878744,0.240516,0.218123
2022-23,HOU,82,-9.295207,0.51616,0.860316,0.300647,0.217666,0.565905,0.882422,0.239886,0.219689
2022-23,IND,82,-4.424698,0.545876,0.870166,0.231136,0.211397,0.556093,0.870113,0.274754,0.23226
2022-23,LAC,87,-0.14117,0.5522,0.871991,0.226962,0.220724,0.545043,0.8835,0.235249,0.201504
2022-23,LAL,99,0.795601,0.541028,0.879495,0.224224,0.234733,0.533623,0.889001,0.237342,0.170458
2022-23,MEM,88,3.176657,0.535486,0.883347,0.262126,0.189552,0.52736,0.86936,0.241395,0.207024
2022-23,MIA,107,-0.220863,0.530617,0.879639,0.222894,0.220251,0.555212,0.859863,0.228039,0.204102
2022-23,MIL,87,2.782403,0.556439,0.873219,0.246163,0.184996,0.52705,0.894699,0.216632,0.175944
2022-23,MIN,89,0.05183,0.559743,0.864218,0.211788,0.208156,0.540111,0.867653,0.252946,0.226451
2022-23,NOP,83,1.842727,0.54417,0.871055,0.245204,0.223055,0.543736,0.867287,0.225772,0.216376
2022-23,NYK,93,2.850441,0.536642,0.883036,0.282718,0.221843,0.533773,0.884538,0.224611,0.211366
2022-23,OKC,84,0.474169,0.53079,0.887829,0.245691,0.210854,0.548442,0.856254,0.269806,0.225223
2022-23,ORL,82,-2.458334,0.534249,0.865455,0.236417,0.230045,0.550698,0.869021,0.222703,0.213969
2022-23,PHI,93,4.29785,0.556871,0.875353,0.216994,0.247625,0.54226,0.87251,0.221492,0.214998
2022-23,PHX,93,1.582689,0.537945,0.881493,0.260416,0.196176,0.534557,0.873095,0.239492,0.237643
2022-23,POR,82,-4.036077,0.550488,0.86961,0.224822,0.232667,0.564028,0.878893,0.248395,0.218541
2022-23,SAC,89,2.311205,0.566541,0.880647,0.229521,0.225386,0.560962,0.875185,0.229241,0.20468
2022-23,SAS,82,-10.559458,0.527795,0.869276,0.255984,0.172425,0.579111,0.880045,0.244456,0.202177
2022-23,TOR,83,0.69238,0.518252,0.896557,0.277437,0.203994,0.565961,0.84772,0.229701,0.225654
2022-23,UTA,82,-1.212531,0.548738,0.867528,0.265936,0.211198,0.543051,0.890736,0.24271,0.208037
2022-23,WAS,82,-1.857017,0.55206,0.872416,0.223517,0.205434,0.542031,0.890194,0.237312,0.197358
2023-24,ATL,83,-2.162475,0.540578,0.883381,0.267671,0.202116,0.574024,0.876254,0.246633,0.19339
2023-24,BKN,82,-2.899395,0.531989,0.881699,0.249848,0.180031,0.545056,0.885498,0.237513,0.195526
2023-24,BOS,101,11.134711,0.57478,0.892126,0.245831,0.184115,0.525102,0.89135,0.228832,0.142792
2023-24,CHA,82,-10.697981,0.531008,0.873287,0.207787,0.168105,0.573874,0.876916,0.250995,0.190376
2023-24,CHI,84,-1.886045,0.535852,0.889882,0.246081,0.185514,0.556691,0.874061,0.235041,0.198494
